Категория,Наименование,Артикул (номер в каталоге),Модели машин,Цвет,Ед. измерения,Цена оптовая,Цена закупочная,Цена для сервисов,Цена для розницы,Профит с сервисов,Профит с розницы
Бампера передние,Бампер передний ,,1118,Боровница,шт,2300,2484,2600,3500,116,1016
Бампера передние,Бампер передний ,,1118,Калина,шт,2300,2484,2600,3500,116,1016
Бампера передние,Бампер передний ,,1118,Мускат,шт,2300,2484,2600,3500,116,1016
Бампера передние,Бампер передний ,,1118,Слива,шт,2300,2484,2600,3500,116,1016
Бампера задние,Бампер задний в сборе (АНОДИРОВАННАЯ) без труб,,2105,,шт.,660,712.8,750,800,37.2,87.2
Бампера задние,Бампер задний в сборе (ЭМ) без труб,,2105,,шт.,660,712.8,750,800,37.2,87.2
Бампера передние,Бампер передний в сборе (АН) без труб,,2105 21065,,шт.,660,712.8,750,800,37.2,87.2
Бампера передние,Бампер передний в сборе (ЭМ) без труб,,2105 21065,,шт.,660,712.8,750,800,37.2,87.2
Бампера задние,Бампер задний в сборе (Сызрань),,2106,,шт.,660,712.8,750,800,37.2,87.2
Бампера передние,Бампер передний в сборе (Сызрань),,2106,,шт.,720,777.6,800,850,22.4,72.4
Бампера задние,Бампер задний в сборе (ЭМ) без кронштейна,,21065,,шт,660,712.8,750,800,37.2,87.2
Бампера передние,Бампер в сборе задний с трубами,,2107,,шт.,840,907.2,900,950,-7.20000000000004,42.8
Бампера передние,Бампер в сборе передний с трубами,,2107,,шт.,830,896.4,900,950,3.60000000000002,53.6
Бампера задние,Бампер голый задний,,2107,,шт.,320,345.6,350,400,4.39999999999998,54.4
Бампера передние,Бампер голый передний,,2107,,шт.,320,345.6,350,400,4.39999999999998,54.4
Бампера задние,Бампер задний в сборе (стальн.) без кронштейна,,2108 2109,,шт.,1830,1976.4,2000,2200,23.5999999999999,223.6
Бампера задние,Бампер задний голый,2804015,2108 2109,,шт.,1630,1760.4,1800,2000,39.5999999999999,239.6
Бампера передние,Бампер передний в сборе (Москва) без кронштейна,,2108 2109,,шт,1100,1188,1200,1300,12,112
Бампера передние,Бампер передний в сборе (стальн.) без кронштейна,,2108 2109,,шт.,1850,1998,2000,2200,2,202
Бампера передние,Бампер передний голый,2803015,2108 2109,,шт.,1630,1760.4,1800,2000,39.5999999999999,239.6
Бампера передние,Бампер передний голый (Москва),,2108 2109,,шт,850,918,950,1000,32,82
Бампера задние,Бампер задний голый,,21099,,шт.,1800,1944,1900,2000,-44,56
Бампера задние,Бампер задний в сборе (стальн.) без кронштейна,,21099,,шт.,2000,2160,2100,2300,-60,140
Бампера задние,Бампер задний (мягкий) (Сызрань),,2110,,шт.,1520,1641.6,1650,1800,8.40000000000009,158.4
Бампера задние,Бампер задний (жесткий)(ВАЗ)(грунт) ,2804012-71,2110,,шт,1850,1998,2000,2200,2,202
Бампера задние,Бампер задний (жесткий)(Нижнекамск),,2110,,шт,1450,1566,1600,1700,34,134
Бампера задние,Бампер задний (жесткий),,2110,Аккорд,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Амулет,шт.,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Афалина,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Жемчуг,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Золото Инков,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Золотой Лист,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Изумруд,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Капри,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Кварц,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Кристалл,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Мираж,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Млечный Путь,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Нептун,шт,2450,2646,2700,2900,54,254
Бампера задние,Бампер задний (жесткий),,2110,Ниагара,шт,2450,2646,2700,2900,54,254
